% Model:              doble_barrera_electric_Field.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 17 2025, 17:20
% Table:              Table 8 - Global Evaluation 2
% m                      B0                       E0                       h1                       Integration 1 (meV)
1                        20                       100000                   2                        8.182509108664478
1                        20                       100000                   3                        8.049491788607705
1                        20                       100000                   4                        8.293300661384677
1                        20                       100000                   5                        7.88708147729478
1                        20                       100000                   6                        7.972063389450225
1                        20                       100000                   7                        7.888861832318726
1                        20                       100000                   8                        7.869327285431294
1                        20                       100000                   9                        7.892107317710975
1                        20                       100000                   10                       7.868641032202759
1                        20                       100000                   15                       7.76114699834808
1                        20                       100000                   20                       7.668476445156847
1                        20                       100000                   25                       7.5992150452693545
1                        20                       100000                   30                       7.574142287984961
1                        20                       100000                   35                       7.404832991407995
1                        20                       100000                   40                       7.007741583905308
1                        20                       100000                   45                       6.4885248690303525
1                        20                       100000                   50                       5.92533721534248
1                        20                       100000                   55                       5.426960397916052
1                        20                       100000                   60                       4.975010878139762
1                        20                       100000                   65                       4.563212623570509
1                        20                       100000                   70                       4.217833474663763
1                        20                       100000                   75                       3.909851599649215
1                        20                       100000                   80                       3.628732692443198
1                        20                       100000                   85                       3.3869181906859476
1                        20                       100000                   90                       3.1677821396194417
1                        20                       100000                   95                       2.9773525063651607
1                        20                       100000                   100                      2.8058752103267253
1                        20                       100000                   110                      2.521860831029405
1                        20                       100000                   120                      2.2803972144400673
1                        20                       100000                   130                      2.076102152145862
1                        20                       100000                   140                      1.9088269361633352
1                        20                       100000                   150                      1.761500103093741
1                        20                       100000                   160                      1.6305019962117018
1                        20                       100000                   170                      1.521639942509815
1                        20                       100000                   180                      1.4258155246010746
1                        20                       100000                   190                      1.3407025963712869
1                        20                       100000                   200                      1.2644337872039095
