% Model:              doble_barrera_electric_Field.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 25 2025, 12:28
% Table:              Table 8 - Global Evaluation 2
% m                      B0                       E0                       h1                       Integration 1 (meV)
-1                       0                        0                        2                        1.873173981483509
-1                       0                        0                        3                        1.8515071604486484
-1                       0                        0                        4                        1.86681202115355
-1                       0                        0                        5                        1.8435445349620911
-1                       0                        0                        6                        1.8441342705658639
-1                       0                        0                        7                        1.8347662508625944
-1                       0                        0                        8                        1.8331042976123662
-1                       0                        0                        9                        1.8279759022842903
-1                       0                        0                        10                       1.8274503378784892
-1                       0                        0                        15                       1.8235156379883766
-1                       0                        0                        20                       1.821212526986029
-1                       0                        0                        25                       1.8185211662275893
-1                       0                        0                        30                       1.8158844567929273
-1                       0                        0                        35                       1.812823466535042
-1                       0                        0                        40                       1.8097482021889724
-1                       0                        0                        45                       1.80661203409686
-1                       0                        0                        50                       1.803116583746806
-1                       0                        0                        55                       1.7997639501765688
-1                       0                        0                        60                       1.7961692808747491
-1                       0                        0                        65                       1.7923488725873447
-1                       0                        0                        70                       1.7886456378644318
-1                       0                        0                        75                       1.7846936513347402
-1                       0                        0                        80                       1.7805039539274417
-1                       0                        0                        85                       1.776255942911968
-1                       0                        0                        90                       1.7718123489862974
-1                       0                        0                        95                       1.767147861146319
-1                       0                        0                        100                      1.7622304935812283
-1                       0                        0                        110                      1.7515822191357764
-1                       0                        0                        120                      1.7392279215392559
-1                       0                        0                        130                      1.724779523056229
-1                       0                        0                        140                      1.7076796567360533
-1                       0                        0                        150                      1.6868351640737433
-1                       0                        0                        160                      1.6623849870251137
-1                       0                        0                        170                      1.63182922856712
-1                       0                        0                        180                      1.5954991351205572
-1                       0                        0                        190                      1.5532957031690506
-1                       0                        0                        200                      1.5060260688477114
-1                       0                        1000                     2                        1.8731740193108941
-1                       0                        1000                     3                        1.8515074730291483
-1                       0                        1000                     4                        1.8668119685403433
-1                       0                        1000                     5                        1.8435447798440128
-1                       0                        1000                     6                        1.8441342980353017
-1                       0                        1000                     7                        1.8347662522841721
-1                       0                        1000                     8                        1.833104299525808
-1                       0                        1000                     9                        1.8279759047428767
-1                       0                        1000                     10                       1.8274503416393797
-1                       0                        1000                     15                       1.8235157090553136
-1                       0                        1000                     20                       1.8212125445340306
-1                       0                        1000                     25                       1.818521240096175
-1                       0                        1000                     30                       1.8158845081558326
-1                       0                        1000                     35                       1.8128236170723504
-1                       0                        1000                     40                       1.8097484141945777
-1                       0                        1000                     45                       1.8066127260097156
-1                       0                        1000                     50                       1.803117046369448
-1                       0                        1000                     55                       1.799765160369181
-1                       0                        1000                     60                       1.7961686317091872
-1                       0                        1000                     65                       1.792349069316396
-1                       0                        1000                     70                       1.7886463116783389
-1                       0                        1000                     75                       1.7846897000666522
-1                       0                        1000                     80                       1.7805015059360838
-1                       0                        1000                     85                       1.7762521170876149
-1                       0                        1000                     90                       1.771806195974642
-1                       0                        1000                     95                       1.7671348567111917
-1                       0                        1000                     100                      1.7622082832858246
-1                       0                        1000                     110                      1.7515435231623266
-1                       0                        1000                     120                      1.7391180928997718
-1                       0                        1000                     130                      1.7245579809689218
-1                       0                        1000                     140                      1.7071447794988772
-1                       0                        1000                     150                      1.6857395677787463
-1                       0                        1000                     160                      1.660046278567768
-1                       0                        1000                     170                      1.6270989756435008
-1                       0                        1000                     180                      1.5863682544327744
-1                       0                        1000                     190                      1.538094643780108
-1                       0                        1000                     200                      1.4840247326879004
-1                       0                        10000                    2                        1.8731743612164407
-1                       0                        10000                    3                        1.8515102868456412
-1                       0                        10000                    4                        1.8668114952134054
-1                       0                        10000                    5                        1.843546984069737
-1                       0                        10000                    6                        1.8441345630786565
-1                       0                        10000                    7                        1.834766265752892
-1                       0                        10000                    8                        1.8331043177956556
-1                       0                        10000                    9                        1.8279759274252754
-1                       0                        10000                    10                       1.8274503756147384
-1                       0                        10000                    15                       1.823516349856026
-1                       0                        10000                    20                       1.8212127064089039
-1                       0                        10000                    25                       1.818521866212868
-1                       0                        10000                    30                       1.8158848668500773
-1                       0                        10000                    35                       1.81282453797718
-1                       0                        10000                    40                       1.8097491660922738
-1                       0                        10000                    45                       1.8066162718131253
-1                       0                        10000                    50                       1.8031147371824978
-1                       0                        10000                    55                       1.799762661333198
-1                       0                        10000                    60                       1.7961359051210326
-1                       0                        10000                    65                       1.792298844537841
-1                       0                        10000                    70                       1.788558461075923
-1                       0                        10000                    75                       1.7844893654499794
-1                       0                        10000                    80                       1.7801979186762065
-1                       0                        10000                    85                       1.7757529337297224
-1                       0                        10000                    90                       1.7710028244304894
-1                       0                        10000                    95                       1.7658430386427117
-1                       0                        10000                    100                      1.7602024372986713
-1                       0                        10000                    110                      1.7471729657217343
-1                       0                        10000                    120                      1.7299465289622682
-1                       0                        10000                    130                      1.7074450409851412
-1                       0                        10000                    140                      1.6778969554997254
-1                       0                        10000                    150                      1.6414410080702924
-1                       0                        10000                    160                      1.5997668830475473
-1                       0                        10000                    170                      1.5525105487996567
-1                       0                        10000                    180                      1.5020616295363944
-1                       0                        10000                    190                      1.4508350877855218
-1                       0                        10000                    200                      1.3989592403381796
-1                       0                        100000                   2                        1.8731779247349798
-1                       0                        100000                   3                        1.8515384837843478
-1                       0                        100000                   4                        1.866806781010679
-1                       0                        100000                   5                        1.84356905483885
