% m,B0,E0,h1,Integration_1_meV
-1,0,-10000000,0.1,4.257421364461249
-1,0,-10000000,0.30000000000000004,4.2480358353119785
-1,0,-10000000,0.5,4.238991614120001
-1,0,-10000000,0.7000000000000001,4.229875380497783
-1,0,-10000000,0.9,4.218525688305204
-1,0,-10000000,1.1,4.2017568830192555
-1,0,-10000000,1.3000000000000003,4.18039291360947
-1,0,-10000000,1.5000000000000002,4.159033162950599
-1,0,-10000000,1.7000000000000002,4.140030658873385
-1,0,-10000000,1.9000000000000001,4.1235369910815685
-1,0,-10000000,2.1,4.109202400525595
-1,0,-10000000,2.3000000000000003,4.096698381341824
-1,0,-10000000,2.5000000000000004,4.085768035187995
-1,0,-10000000,2.7,4.076203701201149
-1,0,-10000000,2.9000000000000004,4.067828598234139
-1,0,-10000000,3.1,4.060487967145661
-1,0,-10000000,3.3000000000000003,4.054045258819367
-1,0,-10000000,3.5000000000000004,4.048380132785541
-1,0,-10000000,3.7,4.043387124712249
-1,0,-10000000,3.9000000000000004,4.038974302113792
-1,0,-10000000,4.5,4.028473225057765
-1,0,-10000000,5,4.02201568907908
-1,0,-10000000,5.5,4.016968976650627
-1,0,-10000000,6,4.012910302212036
-1,0,-10000000,6.5,4.009549690953208
-1,0,-10000000,7,4.006687681720949
-1,0,-10000000,7.5,4.004187400582191
-1,0,-10000000,8,4.001956134566251
-1,0,-10000000,8.5,3.999933002220789
-1,0,-10000000,9,3.9980804361747877
-1,0,-10000000,9.5,3.996377966029563
-1,0,-10000000,10,3.9948173222499257
-1,0,-10000000,10.5,3.993398264306562
-1,0,-10000000,11,3.99212482578196
-1,0,-10000000,11.5,3.991001916236549
-1,0,-10000000,12,3.9900322049154244
-1,0,-5000000,0.1,4.27564189526996
-1,0,-5000000,0.30000000000000004,4.2574186880823905
-1,0,-5000000,0.5,4.2378138366378275
-1,0,-5000000,0.7000000000000001,4.217767374532091
-1,0,-5000000,0.9,4.1980402863241535
-1,0,-5000000,1.1,4.179107645297537
-1,0,-5000000,1.3000000000000003,4.161226610628726
-1,0,-5000000,1.5000000000000002,4.144548410583308
-1,0,-5000000,1.7000000000000002,4.1291724991636976
-1,0,-5000000,1.9000000000000001,4.11515340348392
-1,0,-5000000,2.1,4.102497147144669
-1,0,-5000000,2.3000000000000003,4.091165238256774
-1,0,-5000000,2.5000000000000004,4.081084401536495
-1,0,-5000000,2.7,4.072157355707053
-1,0,-5000000,2.9000000000000004,4.064275600974305
-1,0,-5000000,3.1,4.057327792330287
-1,0,-5000000,3.3000000000000003,4.051205782882359
-1,0,-5000000,3.5000000000000004,4.0458087374179375
-1,0,-5000000,3.7,4.041044937426064
-1,0,-5000000,3.9000000000000004,4.036832420048171
-1,0,-5000000,4.5,4.026825143098232
-1,0,-5000000,5,4.020719104982527
-1,0,-5000000,5.5,4.016013501080934
-1,0,-5000000,6,4.012311177424028
-1,0,-5000000,6.5,4.0093390612271635
-1,0,-5000000,7,4.006908251746009
-1,0,-5000000,7.5,4.004886878756419
-1,0,-5000000,8,4.003181783850463
-1,0,-5000000,8.5,4.001726068204645
-1,0,-5000000,9,4.000470621530596
-1,0,-5000000,9.5,3.9993782700688683
-1,0,-5000000,10,3.998419826901585
-1,0,-5000000,10.5,3.9975714570277745
-1,0,-5000000,11,3.996812984125066
-1,0,-5000000,11.5,3.996126858908414
-1,0,-5000000,12,3.995497542950417
-1,0,0,0.1,4.248150216229296
-1,0,0,0.30000000000000004,4.233459927006707
-1,0,0,0.5,4.217997192203863
-1,0,0,0.7000000000000001,4.2019894303023975
-1,0,0,0.9,4.185682544939797
-1,0,0,1.1,4.169388505258224
-1,0,0,1.3000000000000003,4.153439049237105
-1,0,0,1.5000000000000002,4.138160299097647
-1,0,0,1.7000000000000002,4.123800179460431
-1,0,0,1.9000000000000001,4.110539075409312
-1,0,0,2.1,4.0984581439310945
-1,0,0,2.3000000000000003,4.087577901232762
-1,0,0,2.5000000000000004,4.0778575085518955
-1,0,0,2.7,4.069225409011382
-1,0,0,2.9000000000000004,4.061590980273994
-1,0,0,3.1,4.05485406806185
-1,0,0,3.3000000000000003,4.048914786472353
-1,0,0,3.5000000000000004,4.043678938073203
-1,0,0,3.7,4.039059633743822
-1,0,0,3.9000000000000004,4.034978557655685
-1,0,0,4.5,4.025314320277327
-1,0,0,5,4.01946046142086
-1,0,0,5.5,4.014993306338427
-1,0,0,6,4.011523888933915
-1,0,0,6.5,4.008781800246034
-1,0,0,7,4.006576998564889
-1,0,0,7.5,4.004773763083273
-1,0,0,8,4.003273117121692
-1,0,0,8.5,4.002001596707116
-1,0,0,9,4.000903574497097
-1,0,0,9.5,3.999936259834646
-1,0,0,10,3.999066381314371
-1,0,0,10.5,3.998267871392373
-1,0,0,11,3.997520339271224
-1,0,0,11.5,3.9968077569891602
-1,0,0,12,3.996117642922765
-1,0,5000000,0.1,4.217069482444111
-1,0,5000000,0.30000000000000004,4.212264349600706
-1,0,5000000,0.5,4.203524589128566
-1,0,5000000,0.7000000000000001,4.191783724985561
-1,0,5000000,0.9,4.178058427935413
-1,0,5000000,1.1,4.163278597161973
-1,0,5000000,1.3000000000000003,4.148208391662474
-1,0,5000000,1.5000000000000002,4.133412781340806
-1,0,5000000,1.7000000000000002,4.119406518187482
-1,0,5000000,1.9000000000000001,4.106343934186933
-1,0,5000000,2.1,4.0944010342041155
-1,0,5000000,2.3000000000000003,4.0836210990088215
-1,0,5000000,2.5000000000000004,4.0739785347331114
-1,0,5000000,2.7,4.065406619228217
-1,0,5000000,2.9000000000000004,4.057822068139833
-1,0,5000000,3.1,4.051129189215666
-1,0,5000000,3.3000000000000003,4.045231193196575
-1,0,5000000,3.5000000000000004,4.04002981951555
-1,0,5000000,3.7,4.035441524552362
-1,0,5000000,3.9000000000000004,4.031390275596593
-1,0,5000000,4.5,4.021810267205127
-1,0,5000000,5,4.016030804698177
-1,0,5000000,5.5,4.011650197430966
-1,0,5000000,6,4.0082843361763505
-1,0,5000000,6.5,4.005665847143994
-1,0,5000000,7,4.003605183531197
-1,0,5000000,7.5,4.001965038225581
-1,0,5000000,8,4.000643949397258
-1,0,5000000,8.5,3.9995648084156015
-1,0,5000000,9,3.9986680604488942
-1,0,5000000,9.5,3.997907275335155
-1,0,5000000,10,3.9972462513055302
-1,0,5000000,10.5,3.9966569842453015
-1,0,5000000,11,3.9961180221026917
-1,0,5000000,11.5,3.9956134571078796
