lambh	lambe	m	B0	E0	h1	Integration 1 (meV)
2	1	-1	0	-10000000	0.1	4.3068483417780525
2	1	-1	0	-10000000	0.30000000000000004	4.304458615177813
2	1	-1	0	-10000000	0.5	4.30293528218451
2	1	-1	0	-10000000	0.7000000000000001	4.301946861549486
2	1	-1	0	-10000000	0.9	4.299061966822017
2	1	-1	0	-10000000	1.1	4.289141387405657
2	1	-1	0	-10000000	1.3000000000000003	4.270909383232444
2	1	-1	0	-10000000	1.5000000000000002	4.249956283254027
2	1	-1	0	-10000000	1.7000000000000002	4.230494634035973
2	1	-1	0	-10000000	1.9000000000000001	4.213554029569294
2	1	-1	0	-10000000	2.1	4.199027538016218
2	1	-1	0	-10000000	2.3000000000000003	4.186608036268524
2	1	-1	0	-10000000	2.5000000000000004	4.175995169708072
2	1	-1	0	-10000000	2.7	4.166923655565977
2	1	-1	0	-10000000	2.9000000000000004	4.159159896044623
2	1	-1	0	-10000000	3.1	4.1524966816681825
2	1	-1	0	-10000000	3.3000000000000003	4.14674950297032
2	1	-1	0	-10000000	3.5000000000000004	4.141753562623951
2	1	-1	0	-10000000	3.7	4.137361500842372
2	1	-1	0	-10000000	3.9000000000000004	4.13344156946321
2	1	-1	0	-10000000	4.5	4.123400647549647
2	1	-1	0	-10000000	5	4.115663134631019
2	1	-1	0	-10000000	5.5	4.1073588263250915
2	1	-1	0	-10000000	6	4.097752213998426
2	1	-1	0	-10000000	6.5	4.086396693710288
2	1	-1	0	-10000000	7	4.073150786302613
2	1	-1	0	-10000000	7.5	4.058215023356263
2	1	-1	0	-10000000	8	4.0421100965220464
2	1	-1	0	-10000000	8.5	4.025515669345107
2	1	-1	0	-10000000	9	4.009009813636934
2	1	-1	0	-10000000	9.5	3.9928889344441982
2	1	-1	0	-10000000	10	3.9771505329310366
2	1	-1	0	-10000000	10.5	3.961602816520774
2	1	-1	0	-10000000	11	3.9459847448555507
2	1	-1	0	-10000000	11.5	3.9300437505096624
2	1	-1	0	-10000000	12	3.9135705899900337
2	1	-1	0	-5000000	0.1	4.373535589716053
2	1	-1	0	-5000000	0.30000000000000004	4.358356125910206
2	1	-1	0	-5000000	0.5	4.339244859038385
2	1	-1	0	-5000000	0.7000000000000001	4.31749045940794
2	1	-1	0	-5000000	0.9	4.294684070378107
2	1	-1	0	-5000000	1.1	4.272164292548801
2	1	-1	0	-5000000	1.3000000000000003	4.250788623370508
2	1	-1	0	-5000000	1.5000000000000002	4.231021341300412
2	1	-1	0	-5000000	1.7000000000000002	4.213080045776746
2	1	-1	0	-5000000	1.9000000000000001	4.197027672121355
2	1	-1	0	-5000000	2.1	4.182831182772155
2	1	-1	0	-5000000	2.3000000000000003	4.17039646980582
2	1	-1	0	-5000000	2.5000000000000004	4.159593154436097
2	1	-1	0	-5000000	2.7	4.150271488625226
2	1	-1	0	-5000000	2.9000000000000004	4.142276717832353
2	1	-1	0	-5000000	3.1	4.1354569937310846
2	1	-1	0	-5000000	3.3000000000000003	4.129668675943519
2	1	-1	0	-5000000	3.5000000000000004	4.1247789617415265
2	1	-1	0	-5000000	3.7	4.120666061246319
2	1	-1	0	-5000000	3.9000000000000004	4.117218682886591
2	1	-1	0	-5000000	4.5	4.109891992253505
2	1	-1	0	-5000000	5	4.105968031818273
2	1	-1	0	-5000000	5.5	4.102759385009783
2	1	-1	0	-5000000	6	4.0991821711545855
2	1	-1	0	-5000000	6.5	4.094251040501695
2	1	-1	0	-5000000	7	4.087164682649655
2	1	-1	0	-5000000	7.5	4.0774748835903845
2	1	-1	0	-5000000	8	4.065277684991362
2	1	-1	0	-5000000	8.5	4.051258559173544
2	1	-1	0	-5000000	9	4.036433725502313
2	1	-1	0	-5000000	9.5	4.021705947031538
2	1	-1	0	-5000000	10	4.007572614028904
2	1	-1	0	-5000000	10.5	3.994130577559951
2	1	-1	0	-5000000	11	3.9812346208665357
2	1	-1	0	-5000000	11.5	3.9686481194974226
2	1	-1	0	-5000000	12	3.9561284091666873
2	1	-1	0	0	0.1	4.3583640007182725
2	1	-1	0	0	0.30000000000000004	4.340980209791927
2	1	-1	0	0	0.5	4.321709580708645
2	1	-1	0	0	0.7000000000000001	4.301130671491189
2	1	-1	0	0	0.9	4.279803953030261
2	1	-1	0	0	1.1	4.258337291503803
2	1	-1	0	0	1.3000000000000003	4.237289145779425
2	1	-1	0	0	1.5000000000000002	4.217131121147837
2	1	-1	0	0	1.7000000000000002	4.1981838188169665
2	1	-1	0	0	1.9000000000000001	4.180653085815859
2	1	-1	0	0	2.1	4.164611647508195
2	1	-1	0	0	2.3000000000000003	4.150059284530238
2	1	-1	0	0	2.5000000000000004	4.136926895876521
2	1	-1	0	0	2.7	4.125114151623033
2	1	-1	0	0	2.9000000000000004	4.114503576937679
2	1	-1	0	0	3.1	4.104971069347756
2	1	-1	0	0	3.3000000000000003	4.096396110464112
2	1	-1	0	0	3.5000000000000004	4.0886670484193965
2	1	-1	0	0	3.7	4.0816823155143735
2	1	-1	0	0	3.9000000000000004	4.07535121622673
2	1	-1	0	0	4.5	4.05953258381623
2	1	-1	0	0	5	4.049124816732193
2	1	-1	0	0	5.5	4.040540037381663
2	1	-1	0	0	6	4.033334843419656
2	1	-1	0	0	6.5	4.0272017550742865
2	1	-1	0	0	7	4.021926705143882
2	1	-1	0	0	7.5	4.01735980817024
2	1	-1	0	0	8	4.013396152686212
2	1	-1	0	0	8.5	4.009959865259041
2	1	-1	0	0	9	4.006996050542576
2	1	-1	0	0	9.5	4.004460125332369
2	1	-1	0	0	10	4.002314216434157
2	1	-1	0	0	10.5	4.000519713248135
2	1	-1	0	0	11	3.999033735612146
2	1	-1	0	0	11.5	3.9978060821041272
2	1	-1	0	0	12	3.996778772695006
2	1	-1	0	5000000	0.1	4.307141566913924
2	1	-1	0	5000000	0.30000000000000004	4.305539157553752
2	1	-1	0	5000000	0.5	4.297597026634849
2	1	-1	0	5000000	0.7000000000000001	4.284549718541418
2	1	-1	0	5000000	0.9	4.267823148289716
2	1	-1	0	5000000	1.1	4.248794692801654
2	1	-1	0	5000000	1.3000000000000003	4.228621213905501
2	1	-1	0	5000000	1.5000000000000002	4.208171932429709
2	1	-1	0	5000000	1.7000000000000002	4.188189777425223
2	1	-1	0	5000000	1.9000000000000001	4.168977933099287
2	1	-1	0	5000000	2.1	4.150823389806049
2	1	-1	0	5000000	2.3000000000000003	4.133848434636608
2	1	-1	0	5000000	2.5000000000000004	4.118086398187911
2	1	-1	0	5000000	2.7	4.103515483662351
2	1	-1	0	5000000	2.9000000000000004	4.090087077299039
2	1	-1	0	5000000	3.1	4.077730825097115
2	1	-1	0	5000000	3.3000000000000003	4.066366553288491
2	1	-1	0	5000000	3.5000000000000004	4.055904168276028
2	1	-1	0	5000000	3.7	4.046261387993308
2	1	-1	0	5000000	3.9000000000000004	4.03735703144776
2	1	-1	0	5000000	4.5	4.01430272902714
2	1	-1	0	5000000	5	3.998278879277107
